2019abca_f1m1,frc2122,frc359,frc6841,frc5015,frc6485,frc7246,71,60
2019abca_f1m2,frc2122,frc359,frc6841,frc5015,frc6485,frc7246,89,76
2019abca_qf1m1,frc2122,frc359,frc6841,frc1482,frc4010,frc4191,91,44
2019abca_qf1m2,frc2122,frc359,frc6841,frc1482,frc4010,frc4191,89,57
2019abca_qf2m1,frc4334,frc6351,frc5078,frc3250,frc7591,frc7799,45,48
2019abca_qf2m2,frc4334,frc6351,frc5078,frc3250,frc7591,frc7799,62,33
2019abca_qf2m3,frc4334,frc6351,frc5078,frc3250,frc7591,frc7799,58,33
2019abca_qf3m1,frc5015,frc6485,frc7246,frc3216,frc6188,frc4604,78,52
2019abca_qf3m2,frc5015,frc6485,frc7246,frc3216,frc6188,frc4604,76,45
2019abca_qf4m1,frc1622,frc4627,frc5118,frc6823,frc4774,frc3729,57,57
2019abca_qf4m2,frc1622,frc4627,frc5118,frc6823,frc4774,frc3729,83,57
2019abca_qf4m3,frc1622,frc4627,frc5118,frc6823,frc4774,frc3729,69,78
2019abca_qm1,frc6700,frc4010,frc5078,frc3216,frc5597,frc2122,14,49
2019abca_qm10,frc4191,frc6700,frc3216,frc3250,frc4627,frc5725,26,52
2019abca_qm11,frc5118,frc6701,frc3729,frc7799,frc4334,frc6823,35,42
2019abca_qm12,frc6041,frc7843,frc6351,frc359,frc4733,frc4604,38,66
2019abca_qm13,frc5725,frc7277,frc1622,frc1482,frc7706,frc5597,45,24
2019abca_qm14,frc4334,frc3250,frc6700,frc4191,frc5078,frc2122,54,61
2019abca_qm15,frc7843,frc6701,frc3216,frc6179,frc6351,frc4774,32,42
2019abca_qm16,frc5015,frc6485,frc1622,frc6188,frc4604,frc7799,65,50
2019abca_qm17,frc7205,frc3729,frc6041,frc7706,frc6178,frc4625,44,30
2019abca_qm18,frc6841,frc7246,frc4627,frc4733,frc4010,frc5118,62,33
2019abca_qm19,frc5725,frc359,frc7591,frc6823,frc5015,frc6179,49,43
2019abca_qm2,frc6485,frc7591,frc3729,frc4774,frc5118,frc1622,57,53
2019abca_qm20,frc3250,frc6041,frc4604,frc6485,frc4334,frc7205,33,67
2019abca_qm21,frc4774,frc7277,frc4010,frc5078,frc6351,frc6701,50,38
2019abca_qm22,frc6823,frc4625,frc4191,frc1622,frc3216,frc7246,29,44
2019abca_qm23,frc6841,frc7843,frc6178,frc7591,frc7799,frc2122,35,57
2019abca_qm24,frc6700,frc1482,frc359,frc7706,frc6188,frc5118,54,44
2019abca_qm25,frc4627,frc4191,frc4733,frc6351,frc5597,frc3729,63,37
2019abca_qm26,frc6701,frc7799,frc7246,frc5078,frc7843,frc1622,15,54
2019abca_qm27,frc6700,frc6823,frc4774,frc4334,frc6178,frc6041,50,36
2019abca_qm28,frc5597,frc3250,frc7591,frc4625,frc1482,frc4604,63,26
2019abca_qm29,frc3216,frc4733,frc5015,frc7277,frc7205,frc5118,71,44
2019abca_qm3,frc359,frc6178,frc6823,frc3250,frc7277,frc6351,71,46
2019abca_qm30,frc6841,frc4010,frc6179,frc6485,frc7706,frc4627,46,79
2019abca_qm31,frc3729,frc6188,frc359,frc2122,frc5725,frc6701,81,43
2019abca_qm32,frc3216,frc7205,frc4625,frc7843,frc6700,frc4733,42,29
2019abca_qm33,frc7277,frc6179,frc4334,frc5597,frc6841,frc6041,63,46
2019abca_qm34,frc5725,frc7246,frc6823,frc7799,frc4774,frc7706,46,33
2019abca_qm35,frc6351,frc7591,frc5015,frc3729,frc3250,frc5078,63,49
2019abca_qm36,frc5118,frc2122,frc1482,frc4604,frc4191,frc6485,62,60
2019abca_qm37,frc6178,frc1622,frc6188,frc4010,frc359,frc4627,51,90
2019abca_qm38,frc7799,frc6841,frc7277,frc3729,frc4625,frc6700,32,37
2019abca_qm39,frc2122,frc6041,frc6485,frc7591,frc6823,frc3216,57,27
2019abca_qm4,frc4625,frc7799,frc4627,frc1482,frc6188,frc6179,61,32
2019abca_qm40,frc4010,frc3250,frc6188,frc4774,frc4733,frc5725,71,38
2019abca_qm41,frc5078,frc4604,frc6178,frc4191,frc6179,frc7706,43,32
2019abca_qm42,frc1622,frc1482,frc6351,frc7843,frc7246,frc4334,55,53
2019abca_qm43,frc6701,frc4627,frc5597,frc5015,frc7205,frc359,43,82
2019abca_qm44,frc5118,frc6485,frc5078,frc6178,frc5725,frc6700,41,22
2019abca_qm45,frc7706,frc3216,frc7277,frc6188,frc4334,frc7591,34,62
2019abca_qm46,frc6041,frc6823,frc1482,frc1622,frc6841,frc7205,51,51
2019abca_qm47,frc6701,frc4625,frc4774,frc4604,frc4627,frc2122,29,87
2019abca_qm48,frc5118,frc4191,frc5597,frc7799,frc5015,frc7843,30,65
2019abca_qm49,frc6179,frc359,frc3250,frc7246,frc3729,frc4010,56,40
2019abca_qm5,frc4604,frc4334,frc5725,frc4733,frc7205,frc7246,44,15
2019abca_qm50,frc4733,frc7591,frc7706,frc6351,frc6700,frc6485,35,55
2019abca_qm51,frc4627,frc6041,frc7277,frc4191,frc5725,frc7843,51,35
2019abca_qm52,frc5597,frc4604,frc4010,frc6823,frc3729,frc6841,42,63
2019abca_qm53,frc6178,frc2122,frc4733,frc6701,frc5015,frc1482,76,61
2019abca_qm54,frc7205,frc5078,frc7799,frc359,frc3216,frc4774,35,75
2019abca_qm55,frc6351,frc5118,frc4334,frc6179,frc1622,frc4625,71,37
2019abca_qm56,frc7246,frc4191,frc3250,frc6188,frc6700,frc6701,33,29
2019abca_qm57,frc6178,frc3729,frc1482,frc6841,frc4604,frc3216,36,50
2019abca_qm58,frc4733,frc6179,frc5078,frc4627,frc1622,frc6823,40,88
2019abca_qm59,frc359,frc7843,frc7706,frc4625,frc5118,frc3250,42,41
2019abca_qm6,frc5015,frc7706,frc6841,frc6041,frc6701,frc4191,42,15
2019abca_qm60,frc7246,frc4774,frc6485,frc7277,frc5015,frc5597,55,49
2019abca_qm61,frc2122,frc6351,frc6188,frc6041,frc5725,frc7799,77,46
2019abca_qm62,frc7205,frc7591,frc6700,frc4334,frc4010,frc4191,41,67
2019abca_qm7,frc4625,frc5597,frc7843,frc4010,frc6485,frc6178,16,65
2019abca_qm8,frc6179,frc2122,frc7205,frc7591,frc7246,frc7277,44,47
2019abca_qm9,frc6188,frc4774,frc5015,frc1482,frc5078,frc6841,63,38
2019abca_sf1m1,frc2122,frc359,frc6841,frc4334,frc6351,frc5078,88,56
2019abca_sf1m2,frc2122,frc359,frc6841,frc4334,frc6351,frc5078,79,43
2019abca_sf2m1,frc5015,frc6485,frc7246,frc6823,frc4774,frc3729,75,53
2019abca_sf2m2,frc5015,frc6485,frc7246,frc6823,frc4774,frc3729,70,58
